XXXS,42,50,49,50,87,64,Unisex
XXS, 44, 52, 51, 52, 88, 65,Unisex
XS, 46, 54, 53, 54, 90, 66,Unisex
S, 48, 56, 55, 56, 91, 67,Unisex
M, 50, 58, 57, 58, 93, 68,Unisex
L, 52, 60, 59, 60, 95, 69,Unisex,
XL, 54, 62, 61, 62, 97, 70,Unisex
XXL, 57, 64, 63, 64, 99, 71,Unisex,
XXXL, 59, 66, 65, 66, 101, 72,Unisex
