Accounting 
Administrative & Office Works
Asset Management
Budgeting
Business 
Business Development
Civil Works
Commercial and Finance
Communication
Contract Management
Contracts and Procurement
Data
Data Management
Design
Design and 3D Visualisation
Distribution System
Documentations
Electrical systems
Embedded generation 
Finance
General
Geographical Information System & Survey
HR
Information Technology
Legal
Maintenance of MV Substation
Management
Mechanical Engineering 
Media
Networking
Optical Fiber Network 
Passive Optical network 
Planning
Planning and Coordination 
Power System 
Power System Analysis
Procurement
Procurement of goods
Procurement of Works & Services
Protection System
Risk Management
Safety & Quality Division
SAP ERP system
SAP ERP system related
SUIT
Technical Works
Technology Development
Tender 
Tendering of goods 
Transmission System
Working in team
