14,1,1
14,2,1
14,4,1
14,5,1
14,6,1
14,7,1
14,8,1
14,9,1
14,10,1
14,11,1
14,12,1
14,13,1
14,14,1
14,15,1
14,16,1
14,17,1
14,18,1
14,19,1
14,20,1
14,21,1
14,22,1
14,23,1
14,24,1
14,25,1
14,26,1
14,27,1
14,28,1
14,29,1
14,30,1
14,31,1
14,33,1
14,34,1
14,35,1
14,36,1
14,37,1
14,38,1
14,39,1
14,40,1
14,41,1
14,42,1
14,43,1
14,44,1
14,45,1
14,46,1
14,47,1
14,48,1
14,49,1
14,50,1
14,51,1
14,52,1
14,53,1
14,54,1
14,55,1
14,56,1
14,57,1
14,60,1
14,61,1
14,62,1
14,64,1
14,65,1
14,66,1
14,67,1
14,68,1
14,69,1
14,70,1
14,71,1
14,72,1
14,73,1
1,29,1
2,7,1
2,2,1
2,28,1
3,7,1
3,2,1
4,7,1
4,2,1
4,27,1
5,7,1
5,2,1
5,26,1
6,7,1
6,2,1
6,22,1
7,7,1
7,2,1
7,25,1
8,7,1
8,2,1
8,24,1
9,7,1
9,2,1
9,23,1
10,7,1
10,2,1
10,13,1
11,7,1
11,2,1
11,14,1
12,7,1
12,2,1
12,15,1
13,7,1
13,2,1
13,16,1
15,7,1
15,2,1
15,17,1
15,30,1
15,71,1
15,56,1
16,7,1
16,2,1
16,18,1
17,7,1
17,2,1
17,19,1
18,7,1
18,2,1
18,20,1
19,7,1
19,2,1
19,21,1
20,7,1
20,2,1
20,12,1
21,7,1
21,2,1
21,5,1
22,7,1
22,2,1
23,7,1
23,2,1
24,7,1
24,2,1
25,7,1
25,2,1
26,7,1
26,2,1
27,7,1
27,2,1
28,7,1
28,2,1
29,7,1
29,2,1
30,7,1
30,2,1
31,7,1
31,2,1
32,7,1
32,2,1
33,7,1
33,2,1
34,7,1
34,2,1
35,7,1
35,2,1
36,7,1
36,2,1
36,30,1
36,71,1
36,56,1
37,7,1
37,2,1
38,7,1
38,2,1
39,7,1
39,2,1
40,7,1
40,2,1
41,33,1
41,7,1
42,34,1
42,7,1
43,35,1
43,7,1
44,36,1
44,7,1
45,37,1
45,7,1
46,38,1
46,7,1
47,7,1
47,39,1
47,40,1
48,41,1
48,7,1
49,42,1
49,7,1
50,43,1
50,7,1
51,44,1
51,7,1
52,45,1
52,7,1
53,46,1
53,7,1
54,47,1
54,7,1
55,7,1
55,48,1
56,49,1
56,7,1
57,50,1
57,7,1
58,51,1
58,7,1
59,52,1
59,7,1
60,53,1
60,7,1
61,54,1
61,7,1
62,7,1
14,63,1
63,1,1
63,7,1
63,2,1
63,6,1
63,8,1
63,9,1
63,31,1
63,55,1
63,60,1
63,61,1
63,63,1
63,65,1
14,65,1
14,66,1
63,1,1
64,66,1
64,7,1
65,67,1
65,7,1
66,68,1
66,7,1
67,69,1
67,7,1
1,70,1
2,70,1
3,70,1
4,70,1
5,70,1
6,70,1
7,70,1
8,70,1
9,70,1
10,70,1
11,70,1
12,70,1
13,70,1
20,70,1
16,70,1
15,70,1
17,70,1
18,70,1
19,70,1
21,70,1
22,70,1
23,70,1
24,70,1
25,70,1
26,70,1
27,70,1
28,70,1
29,70,1
30,70,1
31,70,1
32,70,1
33,70,1
34,70,1
35,70,1
36,70,1
37,70,1
38,70,1
39,70,1
40,70,1
41,70,1
42,70,1
43,70,1
44,70,1
45,70,1
46,70,1
47,70,1
48,70,1
49,70,1
50,70,1
51,70,1
52,70,1
53,70,1
54,70,1
55,70,1
56,70,1
57,70,1
58,70,1
59,70,1
60,70,1
61,70,1
62,70,1
63,70,1
64,70,1
65,70,1
66,70,1
67,70,1
41,62,1
42,62,1
43,62,1
44,62,1
45,62,1
46,62,1
47,62,1
48,62,1
49,62,1
50,62,1
51,62,1
52,62,1
53,62,1
54,62,1
55,62,1
56,62,1
57,62,1
58,62,1
59,62,1
60,62,1
61,62,1
64,62,1
65,62,1
66,62,1
67,62,1
41,64,1
42,64,1
43,64,1
44,64,1
45,64,1
46,64,1
47,64,1
48,64,1
49,64,1
50,64,1
51,64,1
52,64,1
53,64,1
54,64,1
55,64,1
56,64,1
57,64,1
58,64,1
59,64,1
60,64,1
61,64,1
64,64,1
65,64,1
66,64,1
67,64,1
68,2,1
68,4,1
68,7,1
68,70,1
69,2,1
69,7,1
69,70,1
69,72,1
70,2,1
70,7,1
70,70,1
14,74,1
