Phuentsholing,2
Lhamoi Zingkha,3
Nganglam,9
Jomo Tsangkha,11
Samdrup Choling,11
Dorokha,12
Tashi Chhoeling,12
Gelephu,13
Lingzhi,14
Thrimshing,16
Wamrong,16
Sakteng,16
Panbang,20
N/A,1
