Lekithang Buffer Zone,13,Zone
Chokhorling Buffer zone,13,Zone
Pemathang Buffer Zone,13,Zone
Pelrithang Buffer Zone,13,Zone
Chang,14,Gewog
Dagala,14,Gewog
Geney,14,Gewog
Kawang,14,Gewog
Lingzhi,14,Gewog
Mewang,14,Gewog
Naro,14,Gewog
Soe,14,Gewog
Bartsham,15,Gewog
Bidung,15,Gewog
Kanglung,15,Gewog
Kangpara,15,Gewog
Khaling,15,Gewog
Lumang,15,Gewog
Merak,15,Gewog
Phongme,15,Gewog
Radhi,15,Gewog
Sakteng,15,Gewog
Samkhar,15,Gewog
Shongphu,15,Gewog
Thrimshing,15,Gewog
Uzarung,15,Gewog
Yangnyer,15,Gewog
Trashigang Zone,15,Zone
Rangjung Town Area,15,Zone
Kanglung Area,15,Zone
Khaling Area,15,Zone
Wamrong Town Area,15,Zone
Bumdeyling,16,Gewog
Jamkhar,16,Gewog
Khamdang,16,Gewog
Ramjar,16,Gewog
Toetsho,16,Gewog
Tongzhang,16,Gewog
Yalang,16,Gewog
Yangtse,16,Gewog
Yangtse Throm Zone I,16,Zone
Yangtse Throm Zone II,16,Zone
Duksum Throm Zone,16,Zone
Drakten,17,Gewog
Korphu,17,Gewog
Langthil,17,Gewog
Nubee,17,Gewog
Tangsibjee,17,Gewog
Choethrom,17,Zone
Lauzhong and Dangrina,17,Zone
Sherubling and Yuling,17,Zone
BoD & Kewathang,17,Zone
Barshong,18,Gewog
Beteni,18,Gewog
Dunglagang,18,Gewog
Gosarling,18,Gewog
Kikhorthang,18,Gewog
Mendrelgang,18,Gewog
Patala,18,Gewog
Phuentenchu,18,Gewog
Rangthangling,18,Gewog
Semzong,18,Gewog
Tsholingkhar,18,Gewog
Tsirangtoe,18,Gewog
DCS Area,18,Zone
Damphu Core Area,18,Zone
Dratang Area,18,Zone
Athang,19,Gewog
Bjena,19,Gewog
Daga,19,Gewog
Dangchu,19,Gewog
Gangtey,19,Gewog
Gase Tshogom,19,Gewog
Gase Tshoom,19,Gewog
Kazhi,19,Gewog
Nahi,19,Gewog
Nyisho,19,Gewog
Phangyul,19,Gewog
Phobji,19,Gewog
Rubesa,19,Gewog
Sephu,19,Gewog
Thedtsho,19,Gewog
Bajo Core Town (Zone I),19,Zone
Bajo Extended town (Zone II),19,Zone
Gangthangka area (Zone III),19,Zone
Pema Karpo to Samthang (Buffer Zone),19,Zone
Kingaling to Wangdue bride area (Buffer Zone),19,Zone
Petakarp Area (Buffer Zone),19,Zone
Bardo,20,Gewog
Bjoka,20,Gewog
Goshing,20,Gewog
Nangkor,20,Gewog
Ngangla,20,Gewog
Phangkhar,20,Gewog
Shingkhar,20,Gewog
Trong,20,Gewog
Zhemgang Town: Area 1,20,Zone
Zhemgang Town: Area 2,20,Zone
Zhemgang Town: Area 3,20,Zone
Tingtibi Town,20,Zone
Yebilaptsa,20,Zone
Panbang Yenglag Throm: Area 1,20,Zone
Panbang Yenglag Throm: Area 2,20,Zone
Panbang Yenglag Throm: Area 3,20,Zone
De-suung,21,Zone
Serbithang,21,Zone
Babesa Lam Tag,21,Zone
Babesa Lam Wog,21,Zone
Simtokha E4,21,Zone
Above old Highway,21,Zone
Tshalu Bar,21,Zone
Tshalumarphey,21,Zone
Simtokha Dzong Area,21,Zone
Olarongchu Workshop Area,21,Zone
RIM (Tsa Tsho),21,Zone
Lubding,21,Zone
Chang Olakha,21,Zone
Chang Jalu,21,Zone
Changbangdu,21,Zone
Changjiji,21,Zone
Upper Changzamtok,21,Zone
Changgidaphu,21,Zone
Lower Changzamtok,21,Zone
Yangchenphu Area,21,Zone
Norzin Wog,21,Zone
Norzin Tag,21,Zone
Chang Zeri,21,Zone
Changkhorlo,21,Zone
Changgangkha,21,Zone
Lower Motithang (Kawang Damisa),21,Zone
Upper Motithang,21,Zone
Kawajangsa,21,Zone
Zilukha,21,Zone
Hejo Village,21,Zone
Langjophakha,21,Zone
Lower Samtenling,21,Zone
Upper Samtenling,21,Zone
Jungzhina,21,Zone
Pamtsho,21,Zone
Taba Lamwog,21,Zone
Taba Lamtak,21,Zone
Upper Dechencholing,21,Zone
Lower Dechencholing,21,Zone
Changtagang,21,Zone
Begana,21,Zone
Debsi,21,Zone
Gangchey and Nyezergang,21,Zone
RTC Area,21,Zone
Kabisa,21,Zone
ToorsaTar-Ammochhu,23,Zone
Workshop Area,23,Zone
Core Area,23,Zone
Pemaling Housing Area,23,Zone
PSA Area,23,Zone
RICB-RSTA Area,23,Zone
Sonamgang School Area,23,Zone
Dhamdara Area,23,Zone
Kabraytar-Khareyphu Area,23,Zone
Rinchending,23,Zone
Ahlay-Pekarshing,23,Zone
Pasakha,23,Zone
Pasakha-Industrial Area,23,Zone
Throm Zone,24,Zone
WorkshopZone,24,Zone
Tendrel NPPF Zone,24,Zone
Tin Kilo Zone,24,Zone
Dewathang Zone,24,Zone
