241,Gozhi Maed,19
242,Gozhi Toed,19
243,Aetosi,20
244,Bartsha,20
245,Buchunang,20
246,Dalithang,20
247,Gangjab,20
248,Jurugang,20
249,Kanakha,20
250,Kazhithang,20
251,Khagochen,20
252,Lhaling,20
253,Lungtengang,20
254,Namgaylang,20
255,Nyindukha,20
256,Pungzhi,20
257,Tanabji,20
258,Ganglingna (Labrang),21
259,Jemthang (Balabas),21
260,Karmaling (Kerabari),21
261,Labtsakha (Deorali),21
262,Omchhu (Homa),21
263,Senchumthang (Dalbari),21
264,Akhochen,22
265,Gibsa,22
266,Gumla,22
267,Pasger (Paksey),22
268,Pogtog,22
269,Thomgang,22
270,Baloong,23
271,Barna,23
272,Kompa,23
273,Sidpa,23
274,Thasa,23
275,Chongsamling (Sibsooni),24
276,Kuendrelthang (Majigaon),24
277,Lhamoidzingkha (Kalikhola),24
278,Loongsilsa (Daragaon),24
279,Majathang (Lamchey),24
280,Tshaemjeena,24
281,Tshaemzhi Gosa (Tshaemjeena/Devitar),24
282,Damchhunang (Allay),25
283,Dangreyboog (Bichgoan),25
284,Dramze Kesa (Katarey),25
285,Gangtokha (Daragoan),25
286,Lakpaling (Manglabarey),25
287,Nichula,25
288,Nyeltshosa (Basiney),25
289,Omchhugang (Apgachi),25
290,Tsheluthang (Suntoley),25
291,Yarpheling (Solmoley),25
292,Gangyab (Gopeni),26
293,Langchhenthang (Hathikhara),26
294,Namchagla,26
295,Norbuling (Lodoma),26
296,Shamdolay,26
297,Tashiding,26
298,Babythang,27
299,Gakidthang,27
300,Gelegchhu,27
301,Goongpa Soomchu (Tisgharay),27
302,Pateykha,27
303,Rongchhu (Bandarchu),27
304,Salambi,27
305,Satshamchhu (Budheychu),27
306,Tsangkha,27
307,Zinchila,27
308,Dharay,28
309,Gangzur,28
310,Gangzur (Panakhola),28
311,Gangzur (Shamdolay),28
312,Gangzur Maed (Salaree),28
313,Gangzur Toed (Pasebung),28
314,Norbuzhingkha,28
315,Norbuzhingkha (Panakhola),28
316,Samarchu (Samakhola),28
317,Tsendagang,28
318,Tsendagang (Suntoley),28
319,Yuebug (Majuwa),28
320,Jangsagang,29
321,Karlingzingkha,29
322,Pelling,29
323,Samaed,29
324,Tashigang,29
325,Tongshong (Tongzho),29
326,Tsangleykha,29
327,Zamtog,29
328,Bara,30
329,Barsha,30
330,Bayzhina,30
331,Chalakha,30
332,Chasungsa,30
333,Chruawog,30
334,Chubdey,30
335,Churaphakha,30
336,Damjee,30
337,Gayza,30
338,Jabisa,30
339,Jazhidingkha,30
340,Jizhi,30
341,Kabina,30
342,Khailog,30
343,Namphakha,30
344,Potogang,30
345,Selikha,30
346,Tashithang,30
347,Tomu,30
348,Tsanakha,30
349,Yeodo,30
350,Yeomena,30
351,Zhazhukha,30
352,Zomina,30
353,Amochhu,31
354,Baychhu,31
355,Belpakha,31
356,Chhogley,31
357,Datakha,31
358,Dochong,31
359,Dongyebi,31
360,Gathana,31
361,Khailog,31
362,Lungchukha,31
363,Mani,31
364,Neukha,31
365,Nurbi,31
366,Phulakha,31
367,Tabchen,31
368,Thangkha,31
369,Tsangkha,31
370,Tsebgang,31
371,Tsheringkha,31
372,Womchugang,31
373,Yemena,31
374,Zamna,31
375,Zanang,31
376,Chongra,32
377,Gayza,32
378,Lubcha,32
379,Lungo,32
380,Neylug,32
381,Pazhi,32
382,Toedkor,32
383,Dotag,33
384,Drangsho,33
385,Lhedi,33
386,Raminang,33
387,Relo,33
388,Shangsa,33
389,Tagshor,33
390,Thangza,33
391,Threlga,33
392,Toenchoe,33
393,Tshozhi,33
394,Uesana,33
395,Wachey,33
396,Chenpa,34
397,Choomgpa,34
398,Chubarna,34
399,Dongsana/Taloong,34
400,Geychhukha,34
401,Gungkha,34
402,Gyensa,34
403,Jamgoen,34
404,Longlong,34
405,Machina,34
406,Makana,34
407,Pangphu,34
408,Takchugoenpa,34
409,Tokey,34
410,Tsenka,34
411,Tsenkagoenpa,34
412,Wooka,34
413,Yangoen,34
414,Yangthang,34
415,Yetshephu,34
416,Yulang,34
417,Dorithasa,35
418,Fetena,35
419,Gangrinmo,35
420,Kowkha,35
421,Ngatse,35
422,Phootsena,35
423,Rangtse,35
424,Saidzong,35
425,Sertena,35
426,Ta-nga/Chigo,35
427,Thangdokha,35
428,Yangtse,35
429,Yokha,35
430,Bali,36
431,Dragding,36
432,Gargkha,36
433,Hatam,36
434,Ingo,36
435,Kargoen,36
436,Karjena,36
437,Mombitshokha,36
438,Naktshang,36
439,Namdhu,36
440,Pharikha,36
441,Wangtsa,36
442,Balamnang,37
443,Barakha,37
444,Barasham,37
445,Chumeyding,37
446,Dorikha,37
447,Jenkanang,37
448,Kouna,37
449,Langjogang,37
450,Langpa,37
451,Lhakhangchen,37
452,Norbugang,37
453,Phendona,37
454,Pudunang,37
455,Sharri,37
456,Ama,38
457,Bibi,38
458,Chinga,38
459,Dongtse,38
460,Gyeldrakha,38
461,Mochhu,38
462,Nakha,38
463,Nakhatshochen,38
464,Nakhekha,38
465,Shaba,38
466,Shema,38
467,Shepji,38
468,Tashigang,38
469,Tingma,38
470,Tsanglingna,38
471,Yaba,38
472,Bangyena,39
473,Betso,39
474,Doomchhog,39
475,Dranggoen,39
476,Geyruna,39
477,Goensakha,39
478,Hagoenpa,39
479,Karnag,39
480,Kipri,39
481,Pagekha,39
482,Sangkiri,39
483,Tagchhu,39
484,Takchugoenpa,39
485,Tshaphel,39
486,Tsiloongkha,39
487,Amchi,40
488,Changray,40
489,Chhesa,40
490,Denkaling,40
491,Dhuthay,40
492,Gangzur,40
493,Jalamzur,40
494,Jang,40
495,Khamphu,40
496,Khaujoong,40
497,Kyidloong,40
498,Lekpa,40
499,Lingabi,40
500,Magar,40
501,Namseygang,40
502,Napzala,40
503,Ney,40
504,Ngar/Nyar,40
505,Nyimzhong,40
506,Phatala,40
507,Rotpa,40
508,Samling,40
509,Sapho,40
510,Shawa,40
511,Shomshing,40
512,Tagzibar,40
513,Tangsa,40
514,Taushing,40
515,Taushinggoenpa,40
516,Thimyul,40
517,Thrima,40
518,Tongling,40
519,Tsholing,40
520,Youngmaling,40
521,Zhamling,40
522,Changkhala,41
523,Jarey,41
524,Kharchung/Pam,41
525,Ladrong,41
526,Ngang Ngae,41
527,Trapashing,41
528,Wayang,41
529,Yabi,41
530,Yumchhe,41
531,Babtong,42
532,Berpa,42
533,Dragteng,42
534,Gangla,42
535,Goenkhar,42
536,Karphu,42
537,Kemtshong,42
538,Khoema,42
539,Kholma,42
540,Khoma,42
541,Laber,42
542,Lawa,42
543,Lukchu,42
544,Nyalamdung,42
545,Pangkhar,42
546,Pengtse,42
547,Rolmateng,42
548,Serphu,42
549,Taya,42
550,Tsang-ngo,42
551,Zangkhar,42
552,Arjhaling,43
553,Chagdzom,43
554,Chaktamin,43
555,Chhanyalgang,43
556,Chhusa,43
557,Chongsa,43
558,Churchuma,43
559,Darjaygang,43
560,Dongmaed,43
561,Drabling,43
562,Dungkar,43
563,Garong,43
564,Goshingpang,43
565,Gurta,43
566,Jangtse,43
567,Jasabi,43
568,Lamsabi,43
569,Lamsaykapa,43
570,Maenbi,43
571,Nagling,43
572,Nyaray,43
573,Pirbee,43
574,Ruling,43
575,Serphu,43
576,Sershong,43
577,Sewel,43
578,Shangthongling,43
579,Shauzhong,43
580,Signar,43
581,Sugpee,43
582,Sumdhang,43
583,Tabi,43
584,Tagdzong,43
585,Takharme,43
586,Taling,43
587,Tangroong,43
588,Tergang,43
589,Thangbi,43
590,Thongjaling,43
591,Thowa,43
592,Thuenpey,43
593,Tongmay,43
594,Uygenphoog,43
595,Wamdrang,43
596,Wawel,43
597,Zimpong,43
598,Zongsar,43
599,Bamendrangsa,44
600,Bariphu,44
601,Boushong,44
602,Bumpashing,44
603,Chalibi,44
604,Chengaling,44
605,Dangling,44
606,Dangsangoenpa,44
607,Dosagang,44
608,Dromzhong,44
609,Dungkardowa,44
610,Gamshing,44
611,Gangkhar,44
612,Garapho,44
613,Gorgan,44
614,Kamdhar,44
615,Kasithang,44
616,Katog,44
617,Khampaling,44
618,Kharsa,44
619,Khashaling,44
620,Khochen,44
621,Kimphay,44
622,Kusumphay,44
623,Langphog,44
624,Larjab,44
625,Ledong,44
626,Lekpagang,44
627,Lugarpang,44
628,Maenjabi,44
629,Manigang,44
630,Moormo,44
631,Nadrang,44
632,Namdang,44
633,Namnangbi,44
634,Ngamaling,44
635,Nyaibi,44
636,Oumzor,44
637,Pangsar,44
638,Pelrigoenpa,44
639,Petsizor,44
640,Phagidroong,44
641,Phungshingang,44
642,Rawabi,44
643,Rawabi Goenpa,44
644,Rewaling,44
645,Samcheling,44
646,Samling,44
647,Sershingbi,44
648,Shangrabi,44
649,Shormaed,44
650,Tagmochhu,44
651,Takayla,44
652,Tangpa,44
653,Tashiling,44
654,Thekcholing,44
655,Thongjaling,44
656,Tongmakhar,44
657,Tsampdemo,44
658,Tungkhar,44
659,Yanglagoenpa,44
660,Yomaed,44
661,Youngrab,44
662,Youngshingphel,44
663,Zarthang,44
664,Zarthang Goenpa,44
665,Zhungkhar,44
666,Zungphu,44
667,Balam,45
668,Balam/Nimalawa,45
669,Bamdhir,45
670,Changchen,45
671,Changshinpokpa,45
672,Dowaletang,45
673,Drukla,45
674,Dulebi,45
675,Gongdar,45
676,Gortshom,45
677,Gulipang,45
678,Janakchen,45
679,Kermademo,45
680,Khenye Lhakhang,45
681,Lhakhangtshawa,45
682,Mangdhir,45
683,Mukpakhar,45
684,Obi,45
685,Oonggar,45
686,Pangshingmey,45
687,Pholadowa,45
688,Samdang,45
689,Serbuchuka,45
690,Singyebi,45
691,Tachung,45
692,Thangthrom Maed,45
693,Thangthrom Maed Goenpa,45
694,Tongthrong,45
695,Tonzibi,45
696,Tshochen,45
697,Tshodrang,45
698,Waney,45
699,Yamalung Goenpa,45
700,Yokpaling,45
701,Yozer Goenpa,45
702,Yurung,45
703,Zhongmaed,45
704,Amdrangchhu,46
705,Boo-dur,46
706,Chengling,46
707,Chusa,46
708,Dhokpabi,46
709,Draag-gong,46
710,Draag-gong Goenpa,46
711,Draledowa,46
712,Jabum,46
713,Jalang,46
714,Keroo,46
715,Kupi-nyalsa,46
716,Legchugang,46
717,Legpachu,46
718,Legshogang,46
719,Minjey,46
720,Nyaka,46
721,Phangchenbi,46
722,Pumogang,46
723,Sershing,46
724,Tongling,46
725,Wangzhing,46
726,Zham,46
727,Artobadeb,47
728,Autho,47
729,Bangtsho,47
730,Barchhu,47
731,Changchang Goenpa,47
732,Changmadung,47
733,Chharbi,47
734,Chim Gong,47
735,Chowa,47
736,Chulung,47
737,Chungkha,47
738,Dagarthang,47
739,Dekaling,47
740,Domkhar,47
741,Dongling,47
742,Dongthrom,47
743,Gamanang,47
744,Genchungla,47
745,Godong/Gordong,47
746,Go-nyid,47
747,Guengdrang,47
748,Jarkang,47
749,Kawachen,47
750,Khablang,47
751,Kharphu,47
752,Kiphung,47
753,Lagay,47
754,Langabi,47
755,Lawsa,47
756,Ngathung,47
757,Peldraphu,47
758,Phomed-doong,47
759,Phowantay,47
760,Phuntshochhoeling,47
761,Phurshongang,47
762,Sangphu,47
763,Shermachhu,47
764,Shermachhu Goenpa,47
765,Sokarom,47
766,Sokchen,47
767,Takchu,47
768,Tashi Ling,47
769,Toekhar,47
770,Tongphugang,47
771,Tongsheling,47
772,Tongshi Lung,47
773,Trangka Shing,47
774,Tsaenkhar,47
775,Tshangphu,47
776,Tshochim,47
777,Tsholadrang,47
778,Tsochhen,47
