A,49905,1250,74905
A*,100000,3000,145000
A0,45370,1135,68070
A1,41245,1030,61845
A2,37495,935,56195
A3,34085,850,51085
B1,30985,775,46485
B2,27300,685,41000
B3,24820,620,37220
B4,22565,565,33865
C1,20515,515,30815
C2,18650,465,27950
C3,16955,425,25455
D1,15415,385,23115
D2,14015,350,21015
D3,12740,320,19140
D4,11580,290,17380
D5,10525,265,15825
ESP,8700,220,13100
GC,9570,240,14370
