66/11kV Wangtsa substation,5
TMPO Lobesa,10
220/66/33kV Dhamdum,12
400kV Jigmeling Substation,13
220kV Dhajay Substation,18
132kV Yurmoo Substation,17
220kV Dagapela Substation,3
TMD Tingtibi,20
66kv Olathang substation,8
66kv Pangbesa substation,8
132/33/11kV Deothang,11
Transmission Maintenance Pinsa,19
ESSD Tashichholing,12
ESSD Dorokha,12 
Kewathang,17
Garpang,1
Chummey,1
ESD Wangdue ,19
Tangmachu Shangma,6
Phuentsholing,2
Trashiyangtse,16
kilikhar,7
Kanglung,15
Nangkhor,9
Nganglam,9
