2,4069,30002940,1,30003091,14/07/2022 00:00,NULL,NULL
37,4069,30000864,1,30003091,14/07/2022 00:00,NULL,NULL
20,4069,30001109,11,30003091,14/07/2022 00:00,NULL,NULL
29,4069,30001284,11,30003091,14/07/2022 00:00,NULL,NULL
30,4069,30002025,11,30003091,14/07/2022 00:00,NULL,NULL
31,4069,30001604,12,30003091,14/07/2022 00:00,NULL,NULL
36,4069,30001603,12,30003091,14/07/2022 00:00,NULL,NULL
49,4069,30001347,12,30003091,14/07/2022 00:00,NULL,NULL
19,4323,30001254,13,30003091,14/07/2022 00:00,NULL,NULL
19,4069,30001254,13,30003091,14/07/2022 00:00,NULL,NULL
17,4069,30001547,13,30003091,14/07/2022 00:00,NULL,NULL
25,4069,30001994,13,30003091,14/07/2022 00:00,NULL,NULL
59,4324,30000594,133,30003091,14/07/2022 00:00,NULL,NULL
39,4069,30001285,15,30003091,14/07/2022 00:00,NULL,NULL
61,4328,30000996,133,30003091,14/07/2022 00:00,NULL,NULL
61,4322,30002153,133,30003091,14/07/2022 00:00,NULL,NULL
61,4333,30002176,130,30003091,14/07/2022 00:00,NULL,NULL
61,4327,30001439,131,30003091,14/07/2022 00:00,NULL,NULL
61,4334,30001995,132,30003091,14/07/2022 00:00,NULL,NULL
61,4050,30002394,133,30003091,14/07/2022 00:00,NULL,NULL
61,3656,30002272,131,30003091,14/07/2022 00:00,NULL,NULL
61,4335,30000647,133,30003091,14/07/2022 00:00,NULL,NULL
61,4062,30002262,130,30003091,14/07/2022 00:00,NULL,NULL
61,105,30002772,132,30003091,14/07/2022 00:00,NULL,NULL
61,4066,30001093,131,30003091,14/07/2022 00:00,NULL,NULL
61,2676,30002790,132,30003091,14/07/2022 00:00,NULL,NULL
61,4052,30000881,133,30003091,14/07/2022 00:00,NULL,NULL
61,3004,30002467,133,30003091,14/07/2022 00:00,NULL,NULL
61,3055,30002057,133,30003091,14/07/2022 00:00,NULL,NULL
61,4323,30002401,131,30003091,14/07/2022 00:00,NULL,NULL
61,4236,30002152,130,30003091,14/07/2022 00:00,NULL,NULL
61,1146,30000598,130,30003091,14/07/2022 00:00,NULL,NULL
61,4060,30001364,133,30003091,14/07/2022 00:00,NULL,NULL
61,203,30001992,132,30003091,14/07/2022 00:00,NULL,NULL
61,4336,30001367,130,30003091,14/07/2022 00:00,NULL,NULL
61,1992,30001297,130,30003091,14/07/2022 00:00,NULL,NULL
61,4291,30000840,130,30003091,14/07/2022 00:00,NULL,NULL
61,4325,30001299,133,30003091,14/07/2022 00:00,NULL,NULL
61,1692,30002472,133,30003091,14/07/2022 00:00,NULL,NULL
61,4058,30002472,133,30003091,14/07/2022 00:00,NULL,NULL
61,4046,30001162,132,30003091,14/07/2022 00:00,NULL,NULL
61,4186,30000952,130,30003091,14/07/2022 00:00,NULL,NULL
61,4324,30002267,133,30003091,14/07/2022 00:00,NULL,NULL
61,213,30000294,132,30003091,14/07/2022 00:00,NULL,NULL
61,4331,30001301,131,30003091,14/07/2022 00:00,NULL,NULL
61,4337,30001310,133,30003091,14/07/2022 00:00,NULL,NULL
61,4330,30002270,131,30003091,14/07/2022 00:00,NULL,NULL
47,4062,30001985,15,30003091,14/07/2022 00:00,NULL,NULL
47,4323,30000580,15,30003091,14/07/2022 00:00,NULL,NULL
47,4046,30001197,15,30003091,14/07/2022 00:00,NULL,NULL
47,4324,30000386,15,30003091,14/07/2022 00:00,NULL,NULL
62,4334,30000197,132,30003091,14/07/2022 00:00,NULL,NULL
62,4046,30002279,132,30003091,14/07/2022 00:00,NULL,NULL
62,4324,30002282,133,30003091,14/07/2022 00:00,NULL,NULL
48,4069,30001287,15,30003091,14/07/2022 00:00,NULL,NULL
51,4325,30001097,15,30003091,14/07/2022 00:00,NULL,NULL
64,4251,30002465,156,30003091,14/07/2022 00:00,NULL,NULL
64,4080,30002465,156,30003091,14/07/2022 00:00,NULL,NULL
57,4060,30001333,159,30003091,14/07/2022 00:00,NULL,NULL
57,4329,30001316,159,30003091,14/07/2022 00:00,NULL,NULL
57,4319,30000090,156,30003091,14/07/2022 00:00,NULL,NULL
57,4330,NULL,156,30003091,14/07/2022 00:00,NULL,NULL
65,4062,30000652,158,30003091,14/07/2022 00:00,NULL,NULL
65,4066,30001330,156,30003091,14/07/2022 00:00,NULL,NULL
65,4236,30000951,157,30003091,14/07/2022 00:00,NULL,NULL
65,1992,30002504,158,30003091,14/07/2022 00:00,NULL,NULL
65,4291,30002269,158,30003091,14/07/2022 00:00,NULL,NULL
65,4325,30000713,159,30003091,14/07/2022 00:00,NULL,NULL
65,4065,30002058,160,30003091,14/07/2022 00:00,NULL,NULL
65,4331,30002465,161,30003091,14/07/2022 00:00,NULL,NULL
69,4331,30002465,161,30003091,14/07/2022 00:00,NULL,NULL
67,4046,30000613,160,30003091,14/07/2022 00:00,NULL,NULL
68,4046,30001294,160,30003091,14/07/2022 00:00,NULL,NULL
52,4066,30000622,15,30003091,14/07/2022 00:00,NULL,NULL
52,4326,30001194,15,30003091,14/07/2022 00:00,NULL,NULL
52,1992,30002281,15,30003091,14/07/2022 00:00,NULL,NULL
52,4325,30000558,15,30003091,14/07/2022 00:00,NULL,NULL
52,4046,30000417,15,30003091,14/07/2022 00:00,NULL,NULL
52,4331,30001635,15,30003091,14/07/2022 00:00,NULL,NULL
55,4063,NULL,14,30003091,14/07/2022 00:00,NULL,NULL
53,4060,30002314,14,30003091,14/07/2022 00:00,NULL,NULL
53,4319,30002460,14,30003091,14/07/2022 00:00,NULL,NULL
58,4290,30001092,163,30003091,14/07/2022 00:00,NULL,NULL
58,4332,30002008,163,30003091,14/07/2022 00:00,NULL,NULL
66,4327,30002483,163,30003091,14/07/2022 00:00,NULL,NULL
54,4327,30002423,172,30003091,14/07/2022 00:00,NULL,NULL
54,3571,30002412,172,30003091,14/07/2022 00:00,NULL,NULL
54,105,30002065,172,30003091,14/07/2022 00:00,NULL,NULL
54,2446,NULL,172,30003091,14/07/2022 00:00,NULL,NULL
55,4328,30002288,14,30003091,14/07/2022 00:00,NULL,NULL
55,4069,30001982,172,30003091,14/07/2022 00:00,NULL,NULL
